hipcenter: -0.01990831,-0.3754306,2.540451	hipright: 0.07237654,-0.456737,2.550827	kneeright: 0.09679342,-0.6600524,2.23418	ankleright: 0.07256238,-0.8966144,2.214346	footright: 0.08012363,-0.8232995,2.175692	hipleft: -0.1071901,-0.4594972,2.527514	kneeleftleft: -0.1275001,-0.6628649,2.2106	ankleleft: -0.117841,-0.9004517,2.181247	footleft: -0.1391663,-0.8277858,2.215762	TIME4/8/2014 11:49:08 AM
hipcenter: -0.01630221,-0.1465536,2.367445	hipright: 0.05971573,-0.230773,2.383771	kneeright: 0.05424508,-0.5939761,2.213567	ankleright: 0.07154672,-0.8396131,2.195375	footright: 0.03073375,-0.9105861,2.18616	hipleft: -0.09740813,-0.2261512,2.352233	kneeleftleft: -0.1139423,-0.5985599,2.204741	ankleleft: -0.1199557,-0.8326854,2.181303	footleft: -0.112419,-0.8715705,2.092838	TIME4/8/2014 11:49:10 AM
hipcenter: -0.01537874,-0.09417401,2.352413	hipright: 0.06069525,-0.1764995,2.363193	kneeright: 0.05432693,-0.5851884,2.218703	ankleright: 0.07200243,-0.8384075,2.195515	footright: 0.03120979,-0.9094844,2.186966	hipleft: -0.09500924,-0.175327,2.331672	kneeleftleft: -0.1156743,-0.5829539,2.211261	ankleleft: -0.1215263,-0.8255179,2.180901	footleft: -0.1140347,-0.8615861,2.091237	TIME4/8/2014 11:49:10 AM
hipcenter: -0.01414475,-0.06684767,2.344066	hipright: 0.06170947,-0.148626,2.348356	kneeright: 0.05982298,-0.571543,2.22946	ankleright: 0.07291944,-0.8375174,2.197064	footright: 0.03435776,-0.9093099,2.184951	hipleft: -0.09211531,-0.1446215,2.322154	kneeleftleft: -0.1177348,-0.5790004,2.215061	ankleleft: -0.1216187,-0.8256536,2.181278	footleft: -0.1135162,-0.8604959,2.091192	TIME4/8/2014 11:49:10 AM
hipcenter: -0.01282313,-0.05819696,2.340685	hipright: 0.06300987,-0.1400995,2.343608	kneeright: 0.06346247,-0.5649377,2.236171	ankleright: 0.07372356,-0.8379609,2.198282	footright: 0.03591968,-0.9092656,2.181745	hipleft: -0.0900912,-0.1357129,2.316546	kneeleftleft: -0.119862,-0.5735614,2.219515	ankleleft: -0.1213895,-0.8259156,2.181764	footleft: -0.1131666,-0.8600863,2.09144	TIME4/8/2014 11:49:10 AM
hipcenter: -0.01241775,-0.03952092,2.331764	hipright: 0.06395485,-0.1176185,2.327499	kneeright: 0.06832696,-0.556103,2.244653	ankleright: 0.07430512,-0.8385517,2.200757	footright: 0.03612693,-0.9080483,2.178403	hipleft: -0.08833336,-0.114175,2.303935	kneeleftleft: -0.1187755,-0.5644513,2.228831	ankleleft: -0.1150856,-0.8376021,2.195641	footleft: -0.1068242,-0.8699192,2.10464	TIME4/8/2014 11:49:10 AM
hipcenter: -0.01342479,-0.01820475,2.320052	hipright: 0.06288921,-0.09600809,2.311717	kneeright: 0.0707621,-0.5542522,2.250815	ankleright: 0.06683651,-0.8512964,2.222726	footright: 0.07438447,-0.8820192,2.131092	hipleft: -0.08792402,-0.09375522,2.288549	kneeleftleft: -0.1164328,-0.5803962,2.246287	ankleleft: -0.1058711,-0.8610846,2.226445	footleft: -0.09832314,-0.8918074,2.134811	TIME4/8/2014 11:49:10 AM
hipcenter: -0.0134268,-0.01247277,2.314122	hipright: 0.06262818,-0.08945727,2.303667	kneeright: 0.07048412,-0.5590324,2.253696	ankleright: 0.06519573,-0.8716771,2.241551	footright: 0.07276785,-0.9019357,2.149741	hipleft: -0.08708751,-0.08779585,2.281072	kneeleftleft: -0.1112411,-0.5754006,2.249622	ankleleft: -0.1053788,-0.8755844,2.242787	footleft: -0.03129074,-0.9133756,2.249764	TIME4/8/2014 11:49:10 AM
hipcenter: -0.01452683,-0.005570812,2.303494	hipright: 0.0602814,-0.08152869,2.289258	kneeright: 0.07023311,-0.5624008,2.255228	ankleright: 0.0635114,-0.8782014,2.258341	footright: 0.07088112,-0.9078856,2.166277	hipleft: -0.08799948,-0.08052745,2.267962	kneeleftleft: -0.1103084,-0.5689319,2.250036	ankleleft: -0.1017471,-0.8797925,2.249985	footleft: -0.03671523,-0.9304531,2.247989	TIME4/8/2014 11:49:11 AM
hipcenter: -0.01776038,-0.003252009,2.290218	hipright: 0.05612519,-0.07772844,2.2703	kneeright: 0.06871337,-0.5595477,2.251396	ankleright: 0.06907962,-0.8706169,2.251859	footright: 0.0752895,-0.8999474,2.159553	hipleft: -0.08961886,-0.07827525,2.257499	kneeleftleft: -0.1117576,-0.5670995,2.24587	ankleleft: -0.1036201,-0.8675786,2.248935	footleft: -0.09741023,-0.8969091,2.156629	TIME4/8/2014 11:49:11 AM
hipcenter: -0.01803057,-0.003551127,2.287434	hipright: 0.05592355,-0.07789971,2.266996	kneeright: 0.06831285,-0.557748,2.249417	ankleright: 0.07020834,-0.8691754,2.250823	footright: 0.07613388,-0.8984726,2.158475	hipleft: -0.0898969,-0.07839611,2.25544	kneeleftleft: -0.1122444,-0.5673259,2.245201	ankleleft: -0.1032581,-0.8657339,2.248153	footleft: -0.0973326,-0.895031,2.155805	TIME4/8/2014 11:49:11 AM
hipcenter: -0.01858922,-0.00277942,2.283185	hipright: 0.05622589,-0.07753535,2.262964	kneeright: 0.06819125,-0.5562022,2.248874	ankleright: 0.07046773,-0.8672143,2.252167	footright: 0.07475177,-0.8965288,2.159613	hipleft: -0.09171262,-0.07878502,2.251764	kneeleftleft: -0.1127818,-0.5668849,2.245338	ankleleft: -0.1016294,-0.8639563,2.250995	footleft: -0.09734532,-0.8932708,2.158442	TIME4/8/2014 11:49:12 AM
hipcenter: -0.01855075,-0.002893931,2.283643	hipright: 0.05657113,-0.07810284,2.264614	kneeright: 0.06812475,-0.5558852,2.249462	ankleright: 0.06985056,-0.8675978,2.252305	footright: 0.07385407,-0.8969263,2.159731	hipleft: -0.09195302,-0.07916445,2.252389	kneeleftleft: -0.1128453,-0.566669,2.245841	ankleleft: -0.09965898,-0.8654903,2.252408	footleft: -0.09565546,-0.8948188,2.159834	TIME4/8/2014 11:49:12 AM
hipcenter: -0.01824868,-0.003334423,2.285172	hipright: 0.05791423,-0.07950857,2.268704	kneeright: 0.06833747,-0.5557783,2.250288	ankleright: 0.06816311,-0.8685606,2.252258	footright: 0.07199561,-0.8979589,2.159686	hipleft: -0.09207986,-0.08028891,2.254652	kneeleftleft: -0.1126762,-0.5666543,2.246701	ankleleft: -0.0989583,-0.8666694,2.252733	footleft: -0.0951258,-0.8960677,2.160161	TIME4/8/2014 11:49:12 AM
hipcenter: -0.01797809,-0.006210448,2.289204	hipright: 0.05887835,-0.08473161,2.276762	kneeright: 0.06840034,-0.5556039,2.252457	ankleright: 0.06688029,-0.8688564,2.252092	footright: 0.07035568,-0.8984488,2.159563	hipleft: -0.0927169,-0.08494063,2.260969	kneeleftleft: -0.1114235,-0.5664132,2.248321	ankleleft: -0.09881932,-0.8668393,2.252645	footleft: -0.05432801,-0.9339461,2.234086	TIME4/8/2014 11:49:12 AM
